# mask benchmark baseline (regenerated before every release)
#
# Scope: every utility primitive plus every domain rule exposed via Apply.
# Regenerate with 'make bench > bench.txt', strip ANSI and 'PASS'/'ok' trailers,
# and commit in the same PR as any performance-affecting change.
# CI consumes this file via the benchstat regression guard (see issue #17).

goos: darwin
goarch: arm64
pkg: github.com/axonops/mask
cpu: Apple M2
BenchmarkApply_date_of_birth_fallback-8               	13461754	        90.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_date_of_birth_slash-8                  	20524646	        58.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_date_of_birth_month_name-8             	 4188307	       288.6 ns/op	     144 B/op	       3 allocs/op
BenchmarkApply_username-8                             	19846054	        60.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_passport_number-8                      	18123374	        67.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_driver_license_number_short-8          	14043628	        85.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_driver_license_number_long-8           	11141586	       106.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_generic_national_id-8                  	17632666	        68.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_tax_identifier_short-8                 	16295278	        73.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_tax_identifier_long-8                  	12734656	        95.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_ipv4_address-8                         	23546610	        48.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_ipv4_address_invalid-8                 	19046598	        62.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_ipv6_address_full-8                    	 6075627	       199.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkApply_ipv6_address_compressed-8              	20061186	        59.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_ipv6_address_invalid-8                 	11655670	       103.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_mac_address-8                          	23665798	        50.45 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_mac_address_invalid-8                  	16135909	        74.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_hostname-8                             	12904028	        93.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_hostname_single_label-8                	24221749	        49.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_url-8                                  	 4704063	       254.9 ns/op	     192 B/op	       2 allocs/op
BenchmarkApply_url_long-8                             	  605470	      1982 ns/op	    1104 B/op	       3 allocs/op
BenchmarkApply_url_invalid-8                          	 7680462	       157.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkApply_url_credentials-8                      	 4319094	       280.6 ns/op	     240 B/op	       3 allocs/op
BenchmarkApply_url_credentials_invalid-8              	 6951289	       174.3 ns/op	     160 B/op	       2 allocs/op
BenchmarkApply_api_key-8                              	12457830	        96.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_api_key_long-8                         	  536396	      2211 ns/op	     512 B/op	       1 allocs/op
BenchmarkApply_api_key_short-8                        	36363267	        33.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_jwt_token-8                            	 9327230	       128.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_jwt_token_invalid-8                    	17439669	        68.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_bearer_token-8                         	24741523	        48.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_bearer_token_unknown_scheme-8          	15735985	        76.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_password-8                             	27947272	        43.18 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_password_empty-8                       	100000000	        11.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_private_key_pem-8                      	100000000	        11.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_connection_string-8                    	 3806175	       315.1 ns/op	     256 B/op	       3 allocs/op
BenchmarkApply_connection_string_secret_query-8       	 2892337	       401.8 ns/op	     336 B/op	       3 allocs/op
BenchmarkApply_database_dsn-8                         	16395523	        73.21 ns/op	      48 B/op	       1 allocs/op
BenchmarkApply_database_dsn_invalid-8                 	11606646	       104.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkApply_uuid-8                                 	 9988741	       121.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkApply_uuid_invalid-8                         	 7263088	       161.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkApply_phone_number_e164-8                    	14133477	        84.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_phone_number_us_local-8                	12026121	        99.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_phone_number_invalid-8                 	18542184	        65.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_phone_number_long-8                    	 6462690	       187.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkApply_mobile_phone_number-8                  	14163518	        84.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_imei-8                                 	15823905	        75.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_imei_invalid-8                         	15840729	        75.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_imsi-8                                 	16349524	        72.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_imsi_invalid-8                         	16589508	        72.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_msisdn-8                               	18222012	        66.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_msisdn_invalid-8                       	20953226	        58.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_postal_code_uk-8                       	32661392	        36.28 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_postal_code_us-8                       	37920882	        31.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_postal_code_ca-8                       	34113480	        34.77 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_postal_code_unknown-8                  	23605783	        50.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_geo_latitude-8                         	24623212	        46.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_geo_latitude_invalid-8                 	37958616	        31.69 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_geo_longitude-8                        	25830198	        46.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_geo_longitude_invalid-8                	32287320	        36.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_geo_coordinates-8                      	15781702	        76.96 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_geo_coordinates_invalid-8              	17675032	        67.67 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	github.com/axonops/mask	180.276s
